premise, conclusion, weight
" Obama was aware of the immense lobbying power of the NRA when he promised to introduce stricter gun laws during his election campaign. The fact that this was an unrealistic promise does not exonerate him, but is instead suggestive of manipulative and misleading campaign promises.", " Obama failed to deliver on the promise of gun regulation due to the immense lobbying power and influence of the National Rifle Association (NRA).", -1.0
" During his 8 years in office, Obama introduced a range of programs targeted specifically towards enfranchising the worst-off African Americans, to considerable success.", " Some African Americans feel that Obamas life was so far-removed from their own struggles that his election to the US Presidency did little to practically motivate them towards success.", -1.0
" The Federal Insurance Office was created by the Dodd Frank Act. It gathers information about risks and trends in the insurance industry and monitors large companies.", " The Dodd Frank Act introduced increased monitoring of large banks and insurance companies which pose a risk to the entire banking system.", 1.0
" After US troops left Iraq, Nuri Kamal al-Maliki consolidated his power and began aggressively oppressing Iraq’s Sunni tribes, which played in ISISs favour. A power-sharing arrangement with Ayad Allawi may have avoided this.", " Obamas failure to negotiate a power-sharing arrangement between Prime Minister Nuri Kamal al-Maliki and Ayad Allawi - a secular Shiite and the leader of a bloc with broad Sunni support - led to regional instability, which ISIS took advantage of.", 1.0
" Much of the criticism of Obamas Iran deal was not that it was a failure, but simply that it was imperfect.", " Many people considered the Iran deal a failure.", -1.0
" According the Obama, the reason for the lack of bipartisan support was because Republicans were unwilling to compromise on their ideals.", " Republican politicians are just as much, if not more, to blame for the lack of bipartisanship during Obamas tenure.", 1.0
" Whenever the US has attempted to push its liberal values on other international actors, it has attracted immense hostility.", " In foreign policy, it is often necessary to cooperate with those you disagree with in order to improve the world or the way in which rogue actors conduct themselves.", 1.0
" The Dodd Frank Act prevents future taxpayer-funded bailouts. This is good for taxpayers.", " Critics claim that the Dodd Frank Act is bad for the economy.", -1.0
" The Dodd Frank Act allows for the economy to develop in a way that will prevent the damage that was done during the 2008 crash from happening again. This is good for the economy.", " Critics claim that the Dodd Frank Act is bad for the economy.", -1.0
" Evangelical Christians made the funding of Planned Parenthood one of their primary voting issues in the 2016 Presidential election in response to Obamas ban.", " Obama barred states from denying funding to Planned Parenthood, which many pro-life Americans and religious conservatives disagreed strongly with.", 1.0
" Republican lawmakers criticise Obamas initial approach to governance in 2008 - where he told Republicans that the large Democratic majority in Congress meant he could do what he wanted without their support. If he had built a working bipartisan relationship, more cooperation may have emerged.", " Obama did not reach across the aisle to to build policies which had bipartisan support, and this resulted in them being repealed when Republicans took control of Congress.", 1.0
" Many people use the Solyndra failure as an example to promote climate change as being a hoax, while simultaneously demoting the financial capabilities of scientists from fighting its falsehood.", " Solyndra, his support for solar, was such a large monetary failure, that it set back the entire environmental industry, even to today.", 1.0
" Obamas War on Drugs policies caused significant damage to the countries and people of Latin America.", " By the end of Obamas tenure as president, the United States had finally been able to ally itself with Latin America.", -1.0
" Obama signed this Executive Order on his second day in office, thereby fulfilling his campaign promise to end torture almost instantaneously.", " Obama was largely able to fulfil his promise of ending torture through his executive order on ensuring lawful interrogations and humane treatment of prisoners.", 1.0
" After Solyndra defaulted on its loan in 2011, the Energy Loan Program that it had received funds from started turning over a profit less than three years later.", " Solyndra, his support for solar, was such a large monetary failure, that it set back the entire environmental industry, even to today.", -1.0
" Obamas lack of resistance to Beijings incursions in the South China Sea enabled China to gain power and control over the region.", " Obamas Pivot to Asia was a failure.", 1.0
" Obamas election as the president is said to have created the Obama Effect - which refers to positive changes in racial attitudes as a result of offsetting negative stereotypes about African Americans. This makes him an esteemed role model for African Americans.", " Obama is an esteemed role model for black Americans as the first black President of the United States.", 1.0
" In foreign policy, it is often necessary to cooperate with those you disagree with in order to improve the world or the way in which rogue actors conduct themselves.", " Foreign policy and international diplomacy are complex and intricate, requiring large amounts of compromise and concessions. It is impossible to expect every foreign policy interaction of a president to be ethically sound.", 1.0
" The source of much criticism against Obamas financial and banking regulations stems from Republicans who have an incentive to oppose the actions of a Democrat President.", " Some of the financial and banking regulations introduced by Obama to deal with the 2009 financial crisis did more harm than good to the economy.", -1.0
" The fiduciary rule lead to $14bn in losses for investment firms.", " The fiduciary rule, introduced by Obama, hurt investors, which in turn hurts the economy.", 1.0
" Obama failed to hold bank executives and other responsible individuals accountable for their role in the 2009 financial crisis.", " Some of the financial and banking regulations introduced by Obama to deal with the 2009 financial crisis did more harm than good to the economy.", 1.0
" Obamas regulations around gun ownership were repealed by Congress after he left office.", " Obama did not reach across the aisle to to build policies which had bipartisan support, and this resulted in them being repealed when Republicans took control of Congress.", 1.0
" The Frank Wolf International Religious Freedom Act was enacted under Obamas administration following significant bipartisan co-sponsorship.", " With the exception of the Affordable Care Act, the vast majority of major legislation that Obama pushed through Congress had bipartisan support.", 1.0
" Obamas failure to detail a transitionary process for dealing with remaining detainees made it very difficult to practically close down Guantanamo Bay.", " Obama failed to fulfil his promise to close down Guantanamo Bay detention camp.", 1.0
" Republican leaders believed that Obama did not possess the legislative experience to cut deals with them, and did not attempt to bring lawmakers to his side.", " The fact that many of Obamas actions were repealed or failed to be fully implemented shows that he did not sufficiently persuade politicians and the public of their worth. Being able to convince people who may originally have been opposed to an idea of its value is a crucial skill for a good president to have.", 1.0
" Republican leaders believed that Obama did not possess the legislative experience to cut deals with them, and did not attempt to bring lawmakers to his side.", " Obama did not reach across the aisle to to build policies which had bipartisan support, and this resulted in them being repealed when Republicans took control of Congress.", 1.0
" Obama can be a good representative for immigrants in America, given that he is the son of a Kenyan immigrant.", " Obama was unrepresentative and unsupportive of American immigrants, who are frequently overlooked in politics.", -1.0
" According to experts, the reduction in nuclear stockpiles is negligible, and has little to do with Obamas START treaty with Russia.", " Following Obamas promise to reduce Russian and US nuclear stockpiles, he signed the New START treaty with Russia, which involved both countries agreeing to reduce their nuclear arsenal.", -1.0
" Obamas failure to negotiate a power-sharing arrangement between Prime Minister Nuri Kamal al-Maliki and Ayad Allawi - a secular Shiite and the leader of a bloc with broad Sunni support - led to regional instability, which ISIS took advantage of.", " Obamas decision to withdraw troops from Iraq, without catering to the power vacuum created, facilitated the rise of ISIS.", 1.0
" The median wealth of non-Hispanic black individuals fell by 33.7% from 2010 to 2013, which brought the wealth gap between black and white individuals to its highest since 1989.", " Racial economic equality worsened under the Obama administration.", 1.0
" According to some economists, Obamas stimulus package led to the weakest recovery from a recession in history.", " Obamas economic stimulus package was unsuccessful in bringing about a sustainable, strong economic recovery.", 1.0
" The number of crimes based on sexual orientation between 2014 to 2017 - while Obama was still in elected office - rose in each subsequent year.", " Despite Obamas policies to assist LGBTQ+ individuals, anti-LGBTQ+ discrimination has been on the rise in the United States.", 1.0
" It is unfair to blame Obama wholly for the harmful repercussions of the stimulus spending, as many of these stimulus programs were launched by his predecessor, President Bush, towards the end of his Presidency.", " Obamas economic stimulus package was unsuccessful in bringing about a sustainable, strong economic recovery.", -1.0
" During Obamas presidency, the number of Afghanis in the armed forces more than doubled from 140,000 in 2009 to 320,000 in 2016, resulting in more than 80% of the their missions operating without US or NATO support.", " Obama fulfilled his promise of helping Afghanistan strengthen its own armed forces.", 1.0
" Obamas $5 billion anti-terrorist fund has actually been accused of increasing terrorism, since the money poured to train anti-terrorist forces in West Africa has contributed to corruption, conflict, and the growth of police states.", " The Obama administration financed several counter-terrorist initiatives during his time in office.", -1.0
" Despite an increase in numbers, by the end of Obamas presidency the Afghan forces still lacked many support functions, such as intelligence, reconnaissance and speciality teams like medical evacuation.", " Obama fulfilled his promise of helping Afghanistan strengthen its own armed forces.", -1.0
" It was in the interest of the Republican party to halt any SCOTUS nomination until after the 2016 election, when they may have had the opportunity to appoint a conservative nomination. There is little Obama could have done to remove this incentive.", " Obama failed to appoint Justice Merrick Garland to the Supreme Court bench, as he was unable to gain Republican support for the nomination.", -1.0
" The fiduciary rule was found to be overreaching by U.S. Circuit Court of Appeals which resulted in it being struck down.", " The fiduciary rule, introduced by Obama, hurt investors, which in turn hurts the economy.", 1.0
" A Supreme Court filing has revealed that the Trump administration believes that transgender people arent protected by civil rights legislation which seeks to guard against employment discrimination.", " In 2017, Trump repealed an Obama administration policy that protected transgender individuals from discrimination.", 1.0
" Former FBI Director, James Comey, claimed that the use of drones during the Obama administration created more terrorists than it stopped.", " Drone strikes - one of Obamas main policies for combating terrorism - furthered the threat of terrorism, as extremists used them and their indiscriminate killing as a recruitment tool.", 1.0
" Obama required all employers - including religious affiliated charities, hospitals, and colleges - to pay for health insurance for their workers which covered access to contraceptives, something many Christian Americans are fundamentally opposed to.", " Actions of the Obama administration infringed on the right to religious freedom of individuals and states.", 1.0
" According to polls running up to Obamas election in 2008, more black voters were set to vote for Hillary Clinton compared to Obama. This tempers the view that black Americans were struck by Obama as a role model.", " Obama is an esteemed role model for black Americans as the first black President of the United States.", -1.0
" The Dodd Frank Act created the Consumer Financial Protection Bureau (CFPB) which provides more information and power to consumers.", " Obama introduced the Dodd Frank Act to stabilise banks and financial services providers, and improve their practices.", 1.0
" Statistics by the Department of Homeland Security show that Obamas deportations per year hit a high of 409,849 people, whereas Trumps highest hit 282,342 people.", " While many Obama supporters criticise Trumps tough stance on immigration, Obama deported significantly more immigrants than Trump.", 1.0
" Obamas presence in the White House proved to black Americans and the world that they are capable of genius, career excellence, and humanity.", " Obama is an esteemed role model for black Americans as the first black President of the United States.", 1.0
" Obama reversed a multi-generational trend by normalizing relations with Cuba, a move which was welcomed by fellow Latin American leaders.", " By the end of Obamas tenure as president, the United States had finally been able to ally itself with Latin America.", 1.0
" A major stumbling block to development in parts of Africa is a lack of access to energy. Through his Power Africa Initiative, Obama secured over $54 billion in global commitments with the goal of doubling energy access.", " Obama increased trade with, and investment in, many developing countries in Africa.", 1.0
" A figure of 2 million jobs saved or created is a generous interpretation of the data range, which estimated that between 800,000 and 2.4 million jobs were saved or created.", " The economic stimulus package saved or created around 2 million jobs by the fourth quarter of 2009.", -1.0
" Congress should be blamed instead of Obama for failing to close down Guantanamo Bay detention camp.", " Obama failed to fulfil his promise to close down Guantanamo Bay detention camp.", -1.0
" Obama and Trump have been deemed as being like-minded in terms of their policies regarding the Middle East.", " Though Obama often criticizes Trump for his policies and actions as unjust and unethical, he has committed similarly controversial acts in the past.", 1.0
" At the time of the signing of the deal, Iran was one of the biggest threats to international security, and the Iran deal limited their power.", " Obama successfully negotiated a nuclear non-proliferation deal with Iran.", 1.0
" Since Obamas presidential campaign was run on a platform of hope and he was able to get elected through it, it may be argued that Obamas intentions for inspiring hope and optimism were mostly selfish and self-serving.", " Obamas presidential campaign was run on a platform of hope.", -1.0
" More than 1,000 civilians - including 300 children - have been killed by US drone strikes.", " Obama has come under criticism for significantly expanding the scope of the Bush War on Terror through greatly increased use of drones in conflict zones.", 1.0
" Trump gained significant support from religious Americans for promising to repeal Obamas limitations on religious freedom. This demonstrates that many Americans felt they did not benefit society, but instead were harmful additions to it.", " Actions of the Obama administration infringed on the right to religious freedom of individuals and states.", 1.0
" There is no reason to believe that the small number of troops in Iraq would have been able to prevent conflict had Obama not withdrawn them.", " Obama promised to end conflict in Iraq, but his withdrawal of troops has been criticised as a move that increased conflict in Iraq.", -1.0
" Obama has made many public statements in support of gender equality and the feminist movement.", " Obama expressly described himself as a feminist, which is likely to have inspired and emboldened others to support womens rights.", 1.0
" A number of Obamas most important accomplishments were achieved through bipartisanship.", " The majority of Obamas main accomplishments were the result of executive orders or party-line voting, not bipartisan consensus.", -1.0
" The Democrats loss of seats were due to factors outside Obamas control and were not necessarily indicative of his popularity.", " During his Presidency the Democrats failed to win hundreds of elected positions, which suggests that Obama failed to keep voters on side.", -1.0
" The Obama administration funded the Palestinian government, despite its links with the alleged terrorist group, Hamas.", " The Obama administration has been accused of either directly or indirectly financing terrorist groups.", 1.0
" Republican politicians are just as much, if not more, to blame for the lack of bipartisanship during Obamas tenure.", " The majority of Obamas main accomplishments were the result of executive orders or party-line voting, not bipartisan consensus.", -1.0
" The fiduciary rule helps the average investor as it makes financial advisors act in the interest of the investors that they are advising.", " The fiduciary rule, introduced by Obama, hurt investors, which in turn hurts the economy.", -1.0
" Oil imports from African countries to the United States significantly dropped during the Obama administrations tenure, due to an increased focus on domestic production of shale oil.", " Obama increased trade with, and investment in, many developing countries in Africa.", -1.0
" The CEA estimates that the Obama administrations policies helped the poorest fifth of American households earn 18% more in 2017 than they otherwise would have.", " The Council of Economic Advisers (CEA) has reported that Obamas policies reduced income inequality.", 1.0
" Middle-class incomes fell significantly during the Obama Presidency, only to rise again after two years under the Trump Administration.", " Income inequality reached its highest level since 1928 during Obamas presidency.", 1.0
" The Race to the Top (RTTT) did not succeed, which ended up being a waste of $4 billion.", " This failure has increased the deterioration of the Department of Education (DOE) as well as created issues that face schools today.", 1.0
" From 2014 to 2015, Israeli public approval of Obama fell from 71% to 49%, in large part due to the tense relationship between Obama and Netanyahu, and the USs growing relationship with Iran.", " Relations between the US and Israel were weakened during the Obama administration.", 1.0
" The Volcker Rule, a rule featured in the Dodd Frank Act, has been criticised as being arbitrary and ineffective at eliminating investment risk.", " Obama introduced the Dodd Frank Act to stabilise banks and financial services providers, and improve their practices.", -1.0
" In 2009, Obama described the coup as illegal and reaffirmed that Zelaya remained the President of Honduras since he was democratically elected. In so doing, Obama confirmed the importance of democratic values.", " Despite speaking of the importance of democratic values, the Obama administration did little to prevent - and may even have lent support to - a coup of the democratically elected president of Honduras.", -1.0
" Obama has received tweets criticising his essay as well responses claiming that he is mansplaining feminism from a position of privilege.", " Obama expressly described himself as a feminist, which is likely to have inspired and emboldened others to support womens rights.", -1.0
" Even if Obamas economic policies were not that good in the long term, they were at least able to immediately mitigate some of the most important economic harms resulting from the 2009 financial crisis.", " Some of the financial and banking regulations introduced by Obama to deal with the 2009 financial crisis did more harm than good to the economy.", -1.0
" According to a study, the 2009 financial crisis would have ended up hurting the US economy even more if it were not for Obamas economic policies.", " Some of the financial and banking regulations introduced by Obama to deal with the 2009 financial crisis did more harm than good to the economy.", -1.0
" At the same time, Obama did little to further the fight on climate change in the US, which means that developing countries will still suffer from ramifications of US complacency on tackling global warming.", " During his Presidency, Obama committed significant amounts of money to help developing countries fight climate change.", -1.0
" Polls have identified the top 10 qualities Democratic voters look for in a presidential candidate. Being a good role model does not make the list.", " There are a host of other factors considered by voters when making their decisions in the US Presidential Elections.", 1.0
" Shortly afterwards, Justin Trudeau appeared to emulate Obama when he penned an article on the importance of men describing themselves as feminists. This suggests Obama might have inspired him.", " Obama expressly described himself as a feminist, which is likely to have inspired and emboldened others to support womens rights.", 1.0
" Despite Obamas Executive Order ending torture, he refused to prosecute perpetrators or disclose comprehensive reports on it. This undermined the material impact of the Order by signalling that he did not take accountability or transparency seriously.", " Obama was largely able to fulfil his promise of ending torture through his executive order on ensuring lawful interrogations and humane treatment of prisoners.", -1.0
" Obama encouraged American businesses to invest in Africa and African companies. This resulted in the American Overseas Private Investment Corporation tripling its portfolio in Africa since 2009 - committing $7 billion in finance and insurance, and encouraging another $14 billion in investments.", " Obama increased trade with, and investment in, many developing countries in Africa.", 1.0
" Some African Americans feel that Obamas life was so far-removed from their own struggles that his election to the US Presidency did little to practically motivate them towards success.", " Obama is an esteemed role model for black Americans as the first black President of the United States.", -1.0
" Obama signed the Frank Wolf International Religious Freedom Act, which condemns international violations of religious freedom and ensures that the US actively promotes and protects religious freedom internationally.", " Actions of the Obama administration infringed on the right to religious freedom of individuals and states.", -1.0
" Obama barred states from denying funding to Planned Parenthood, which many pro-life Americans and religious conservatives disagreed strongly with.", " Actions of the Obama administration infringed on the right to religious freedom of individuals and states.", 1.0
" Presidents have very little influence on the politics of a country after leaving office. Hence, presidents cannot be judged by the standard of whether their policies were repealed as they cannot control the political process that repeals these policies after they leave office.", " The fact that the policies of a President are repealed is a poor criteria to gauge their performance in office.", 1.0
" Rather than successfully passing gun control measures, Obamas presidency saw a further reduction in gun restrictions instead.", " Obama failed in his promises to fix gun control.", 1.0
" The Dodd Frank Act introduced increased monitoring of large banks and insurance companies which pose a risk to the entire banking system.", " Obama introduced the Dodd Frank Act to stabilise banks and financial services providers, and improve their practices.", 1.0
" A survey of more than 20 political scientists and historians revealed that not even one of them believed that bipartisan ties grew stronger during the Obama administration.", " With the exception of the Affordable Care Act, the vast majority of major legislation that Obama pushed through Congress had bipartisan support.", -1.0
" Thousands of innocent civilians died in US drone strikes on Pakistan, Yemen, and Somalia.", " The Obama administrations increase in the use of drones was ineffective and caused significant harm.", 1.0
" Obama used executive orders in order to implement climate change policies, despite the fact that there was little bipartisan support for them.", " The majority of Obamas main accomplishments were the result of executive orders or party-line voting, not bipartisan consensus.", 1.0
" Obama fulfilled his promise to reduce the 100-to-1 sentencing disparity between crack and powder cocaine.", " Obama succeeded in his promises to reform the justice system.", 1.0
" The CEA identifies Obamas policies mitigating the effects of the recession as one of the ways in which Obama reduced inequality. These policies extended unemployment benefits and cut payroll taxes, which kept unemployment lower than it would otherwise have been.", " The Council of Economic Advisers (CEA) has reported that Obamas policies reduced income inequality.", 1.0
" Obamas passing of the Dodd Frank Act relied on him negotiating with Republican Senators around an outright ban on commercial banks investing in high-risk funds.", " Obama did not reach across the aisle to to build policies which had bipartisan support, and this resulted in them being repealed when Republicans took control of Congress.", -1.0
" Obamas passing of the Dodd Frank Act relied on him negotiating with Republican Senators around an outright ban on commercial banks investing in high-risk funds.", " With the exception of the Affordable Care Act, the vast majority of major legislation that Obama pushed through Congress had bipartisan support.", 1.0
" A poll by Gallup showed that these approval ratings were not entirely accurate, and that Trumps realistic African American approval ranged from around 10 to 15 percent.", " Surveys show that 33% of US voters believe that life for black individuals has gotten better since Trumps election, whereas only 13% thought so at the end of the Obama-era.", -1.0
" Obama ultimately became the first president to support same-sex marriage, making him a trailblazer for LGBTQ+ civil rights.", " At least until 2010 when Obamas views started wavering, he opposed same-sex marriage.", -1.0
" According to research, post-war U.S. elections show a strong pattern of “incumbency disadvantage”: if a party has held the presidency of the country or the governorship of a state for some time, that party tends to lose popularity in the subsequent election. (P.1, 2019)", " Most presidents have performed worse in elections once they are in power. Obamas loss of votes was to be expected and is not reflective of how good or bad his presidency was.", 1.0
" Critics claim that the Dodd Frank Act is bad for the economy.", " Obama introduced the Dodd Frank Act to stabilise banks and financial services providers, and improve their practices.", -1.0
" Some believe that the poor Democrat performance during the 2014 midterms was due to the fact that Obamas approval ratings were low at the time.", " During his Presidency the Democrats failed to win hundreds of elected positions, which suggests that Obama failed to keep voters on side.", 1.0
" The Global Climate Change Initiative launched by the Obama Administration provided considerable technical and financial support to low-income countries to improve the capacity for climate-adaptation.", " During his Presidency, Obama committed significant amounts of money to help developing countries fight climate change.", 1.0
" Income inequality has been steadily rising since the 1970s, indicating that the high level of income inequality during Obamas presidency is not solely attributable to him.", " Income inequality reached its highest level since 1928 during Obamas presidency.", -1.0
" A closer reading of this Executive Order reveals that not all torture techniques were rendered unlawful because psychological torture could still be used under the guise of the war on terror.", " Obama was largely able to fulfil his promise of ending torture through his executive order on ensuring lawful interrogations and humane treatment of prisoners.", -1.0
" The Recovery Act - Obamas stimulus for recession recovery - only passed after Obama agreed to a number of concessions with Senate Republicans.", " Obama did not reach across the aisle to to build policies which had bipartisan support, and this resulted in them being repealed when Republicans took control of Congress.", -1.0
" The Recovery Act - Obamas stimulus for recession recovery - only passed after Obama agreed to a number of concessions with Senate Republicans.", " With the exception of the Affordable Care Act, the vast majority of major legislation that Obama pushed through Congress had bipartisan support.", 1.0
" Barack Obama is considered a role-model for several individuals in Kenya, inspiring them to be optimistic about their futures.", " Obamas election inspired millions of young people to dream even bigger.", 1.0
" Obama endorsed Hillary Clinton for the White House, helping her become the first woman in US history to be nominated by a major party. This further indicates his commitment to feminism.", " Obama expressly described himself as a feminist, which is likely to have inspired and emboldened others to support womens rights.", 1.0
" Obamas foreclosure prevention program led to roughly 9 million foreclosures rather than preventing them - hurting homeowners and helping banks in the process.", " Some of the financial and banking regulations introduced by Obama to deal with the 2009 financial crisis did more harm than good to the economy.", 1.0
" During Obamas administration jihadist groups became significantly more powerful.", " Obama promised to end conflict in Iraq, but his withdrawal of troops has been criticised as a move that increased conflict in Iraq.", 1.0
" Trump and Obama are both extremely pro-military action, which have led to similar consequences.", " Though Obama often criticizes Trump for his policies and actions as unjust and unethical, he has committed similarly controversial acts in the past.", 1.0
" Hillary Clinton, who was part of the Obama administration, admitted to using her power to make sure that President Zelaya did not return to office, thereby facilitating the coup.", " Despite speaking of the importance of democratic values, the Obama administration did little to prevent - and may even have lent support to - a coup of the democratically elected president of Honduras.", 1.0
" With a record wave of mergers and acquisitions in 2015, Obamas policies failed to deal with monopolies, leading to more concentrated power among few corporations.", " Some of the financial and banking regulations introduced by Obama to deal with the 2009 financial crisis did more harm than good to the economy.", 1.0
" Both Trump and Bernie Sanders ran on anti-establishment platforms and gained significant support from a wide range of Americans.", " The rise of anti-establishment candidates in the 2016 presidential election is indicative of the fact that Americans on both sides of the political divide became disenchanted with the government during Obamas tenure.", 1.0
" Obama is not a fit role model for African American youth because his election was detrimental to the cause of racial justice.", " Obama is an esteemed role model for black Americans as the first black President of the United States.", -1.0
" In terms of gun control, Obama has been criticized for not engaging in enough public persuasion or legislative deal-making to hold his policies in place.", " Obama failed in his promises to fix gun control.", 1.0
" In terms of gun control, Obama has been criticized for not engaging in enough public persuasion or legislative deal-making to hold his policies in place.", " The fact that many of Obamas actions were repealed or failed to be fully implemented shows that he did not sufficiently persuade politicians and the public of their worth. Being able to convince people who may originally have been opposed to an idea of its value is a crucial skill for a good president to have.", 1.0
" The will of the people constantly changes with time;it is likely that the American public simply changed its opinions in 2016 compared to 2012.", " The fact that the majority of the voters in the 2016 general election voted for a candidate who promised to revoke many of Obamas policies shows that they did not represent the will of the American people in the first place.", -1.0
" Policies which are seen as objectively good may be repealed by worse Presidents in the future.", " The fact that the policies of a President are repealed is a poor criteria to gauge their performance in office.", 1.0
" While these policies cannot logically be reversed, their ideological trajectory can: for instance, hereafter taking a more hands-off approach to the economy and foreign intervention.", " There are several Obama administration policies - such as the financial stimulus of 2009, the auto company bailout, and the killing of Bin Laden - which simply cant be reversed.", -1.0
" Under Obama, the high school graduation rate hit an all-time high of 83.2% in 2014 - 2015.", " This failure has increased the deterioration of the Department of Education (DOE) as well as created issues that face schools today.", -1.0
" Under Obama, the high school graduation rate hit an all-time high of 83.2% in 2014 - 2015.", " After graduation rates became inflated under Obama, instead of addressing it as a problem and disgrace, him and his administration celebrated the stats by saying its the opposite: proof of their reforms working.", 1.0
" Obama gave $860 million in aid for Pakistan, out of which $265 million was specifically to assist its anti-terrorist efforts.", " The Obama administration financed several counter-terrorist initiatives during his time in office.", 1.0
" Obama was successful in considerably reducing the number of inmates at Guantanamo Bay, during his presidency, from about 242 to 41.", " Obama failed to fulfil his promise to close down Guantanamo Bay detention camp.", -1.0
" The shift in Obamas views on same-sex marriage in 2010, coincided with polls showing that 55% of Democrat voters agreed with same-sex marriage. It may be inferred from this that Obamas views wavered not because he sought to benefit LGBTQ+ people per se, but rather to benefit his political party.", " At least until 2010 when Obamas views started wavering, he opposed same-sex marriage.", 1.0
" The Obama administrations failure to follow up on their promises to support pro-democratic institutions in Africa has led to the curbing of civil liberties and increased authoritarianism in many countries in the region.", " Obama increased trade with, and investment in, many developing countries in Africa.", -1.0
" The fact that many of Obamas actions were repealed or failed to be fully implemented shows that he did not sufficiently persuade politicians and the public of their worth. Being able to convince people who may originally have been opposed to an idea of its value is a crucial skill for a good president to have.", " The fact that the policies of a President are repealed is a poor criteria to gauge their performance in office.", -1.0
" A 2018 survey found that 72% of Republicans feel that President Trump is a good role model for children.", " Many Presidents are considered role models by their voter base.", 1.0
" Over the course of Obamas presidency, the Democrats lost more House, Senate, state legislative and governors seats than under any other president.", " During his Presidency the Democrats failed to win hundreds of elected positions, which suggests that Obama failed to keep voters on side.", 1.0
" Obama is considered to be a President that is much more moral than Donald Trump, as evidenced by their respective approval ratings after taking office.", " Though Obama often criticizes Trump for his policies and actions as unjust and unethical, he has committed similarly controversial acts in the past.", -1.0
" After graduation rates became inflated under Obama, instead of addressing it as a problem and disgrace, him and his administration celebrated the stats by saying its the opposite: proof of their reforms working.", " This failure has increased the deterioration of the Department of Education (DOE) as well as created issues that face schools today.", 1.0
" In Obamas victory speech, he credited the American ideal of unyielding hope and said, I have never been more hopeful than I am tonight.", " Obamas presidential campaign was run on a platform of hope.", 1.0
" The New START treaty places significantly more obligations and restrictions on the US, putting it at a disadvantage to Russia.", " Following Obamas promise to reduce Russian and US nuclear stockpiles, he signed the New START treaty with Russia, which involved both countries agreeing to reduce their nuclear arsenal.", -1.0
" While Obama was able to pass the ACA, the rollout of Obamacare was a disaster, and many Americans were unable to benefit from it.", " Obama successfully passed the Affordable Care Act (ACA) - one of his core campaign promises.", -1.0
" The Race to the Top just continued the progress of No Child Left Behinds problems instead of removing them. Having one failure after another and continuing issues instead of resolving them is a sign of failure and deterioration.", " This failure has increased the deterioration of the Department of Education (DOE) as well as created issues that face schools today.", 1.0
" Obamas endorsement of same-sex marriage in 2012 was a huge blow to his conservative supporters.", " Obamas growing support for same-sex marriage angered several conservative Americans.", 1.0
" At the same time, certain elements of the PPACA have been repealed by Congress with bipartisan support.", " Trump has consistently failed in attempting to repeal Obamas landmark legislation: the Patient Protection and Affordable Care Act.", -1.0
" Obama attempted to deepen relations with China in order to constrain their aggressive behaviour, not to bolster it.", " Obama tried to strengthen ties between the US and China in order to increase the prosperity of the two nations, despite the fact that China was becoming an aggressor in East Asia, and had a worsening human rights record.", -1.0
" Obamas failure to take quick action has often been cited as the cause for the worsening of the Syrian conflict.", " Obamas failure to recognise the resilience of authoritarian states and the ability of violent extremists to exploit power vacuums resulted in great devastation for developing countries in the Middle East during the Arab Spring.", 1.0
" Obamas famous Hope poster became a pop culture phenomenon.", " Obamas presidential campaign was run on a platform of hope.", 1.0
" There are many foreign policy actions - such as stances on torture and genocide - which do not require compromise but simply a domestic moral consensus. The US has also failed to take the moral high ground on these issues during the Obama administration.", " Foreign policy and international diplomacy are complex and intricate, requiring large amounts of compromise and concessions. It is impossible to expect every foreign policy interaction of a president to be ethically sound.", -1.0
" An in-depth analysis of survey data demonstrates that Obama lost the support of key demographics, such as white men, between 2012 and 2016.", " The fact that the majority of the voters in the 2016 general election voted for a candidate who promised to revoke many of Obamas policies shows that they did not represent the will of the American people in the first place.", 1.0
" In Obamas campaign speech when he first announced that he would be seeking the Democratic nomination, he made hope a central theme.", " Obamas presidential campaign was run on a platform of hope.", 1.0
" Many people considered the Iran deal a failure.", " Obama successfully negotiated a nuclear non-proliferation deal with Iran.", -1.0
" Since Obama had promised to withdraw troops from Iraq, it was more important for him to fulfil that promise once he got elected, as any good President should.", " Obamas decision to withdraw troops from Iraq, without catering to the power vacuum created, facilitated the rise of ISIS.", -1.0
" By attempting to negotiate with Republicans on immigration reform instead of pushing it through Congress as he did for healthcare, Obama showed the Latino community in the US that they were not his priority.", " Obama was unrepresentative and unsupportive of American immigrants, who are frequently overlooked in politics.", 1.0
" $1.7 billion that Obama handed over to Iran has ended up in the hands of terrorist groups.", " The Obama administration has been accused of either directly or indirectly financing terrorist groups.", 1.0
" Even the best case impacts of Obamas signature climate change legislation - the Clean Power Plan - would bring about a temperature decrease of 0.02C, which has been deemed by experts as scientifically undetectable and environmentally insignificant.", " Obama promised to take action on climate change, and successfully signed the US up to the Paris Agreement.", -1.0
" Even the best case impacts of Obamas signature climate change legislation - the Clean Power Plan - would bring about a temperature decrease of 0.02C, which has been deemed by experts as scientifically undetectable and environmentally insignificant.", " At the same time, Obama did little to further the fight on climate change in the US, which means that developing countries will still suffer from ramifications of US complacency on tackling global warming.", 1.0
" Obamas involvement in justice reform stunted bipartisan progress in Congress as Republicans dragged their heels for fear of making concessions that would look like a win for Obama.", " Obama succeeded in his promises to reform the justice system.", -1.0
